track name="OMG" description="table browser query on OMG" visibility=3 url= 
chr17	31038574	31051026	ENST00000579164.6	0	-	31038574	31038574	0	6	80,61,72,72,543,1139,	0,730,3624,6635,8590,11313,
chr17	31041970	31059121	ENST00000581652.1	0	-	31041970	31041970	0	3	300,72,193,	0,3239,16958,
chr17	31045406	31093127	ENST00000580053.1	0	+	31045406	31045406	0	4	143,138,104,252,	0,26505,46197,47469,
chr17	31090786	31095450	ENST00000583377.1	0	-	31090786	31090786	0	3	149,119,224,	0,2586,4440,
chr17	31094349	31094425	ENST00000578268.1	0	-	31094349	31094349	0	1	76,	0,
chr17	31094926	31219359	ENST00000487476.5	0	+	31095309	31219133	0	14	443,144,84,191,107,68,76,158,174,123,75,132,135,355,	0,61056,64083,68259,74964,86495,86783,87581,105495,106110,106484,111313,119524,124078,
chr17	31094926	31377677	ENST00000356175.7	0	+	31095309	31374155	0	57	443,144,84,191,107,68,76,158,174,123,75,132,135,114,80,124,156,250,74,84,441,140,123,84,117,182,212,162,104,136,159,98,147,147,111,433,341,203,194,141,280,215,62,115,102,141,127,132,136,158,123,131,101,143,47,217,3665,	0,61056,64083,68259,74964,86495,86783,87581,105495,106110,106484,111313,119524,124078,126923,128517,130168,131508,132291,132596,134098,134908,135333,135915,137146,137773,138075,140684,140991,154057,163417,164105,165442,166784,170302,230893,232572,235369,239911,241406,241708,242441,242892,243098,243777,245578,248082,254193,255256,257330,261533,262033,262342,263553,264042,265560,279086,
chr17	31094926	31377677	ENST00000358273.8	0	+	31095309	31374155	0	58	443,144,84,191,107,68,76,158,174,123,75,132,135,114,80,124,156,250,74,84,441,140,123,84,117,182,212,162,104,136,63,159,98,147,147,111,433,341,203,194,141,280,215,62,115,102,141,127,132,136,158,123,131,101,143,47,217,3665,	0,61056,64083,68259,74964,86495,86783,87581,105495,106110,106484,111313,119524,124078,126923,128517,130168,131508,132291,132596,134098,134908,135333,135915,137146,137773,138075,140684,140991,154057,158011,163417,164105,165442,166784,170302,230893,232572,235369,239911,241406,241708,242441,242892,243098,243777,245578,248082,254193,255256,257330,261533,262033,262342,263553,264042,265560,279086,
chr17	31094976	31222764	ENST00000431387.8	0	+	31095309	31221990	0	15	393,144,84,191,107,68,76,158,174,123,75,132,135,114,915,	0,61006,64033,68209,74914,86445,86733,87531,105445,106060,106434,111263,119474,124028,126873,
chr17	31095207	31374287	ENST00000579081.5	0	+	31095207	31299606	0	58	162,144,84,191,107,68,76,158,174,123,75,132,135,114,80,124,156,250,74,84,441,140,123,84,117,182,212,162,104,136,159,98,147,147,111,97,433,341,203,194,141,280,215,62,115,102,141,127,132,136,158,123,131,101,143,47,217,275,	0,60775,63802,67978,74683,86214,86502,87300,105214,105829,106203,111032,119243,123797,126642,128236,129887,131227,132010,132315,133817,134627,135052,135634,136865,137492,137794,140403,140710,153776,163136,163824,165161,166503,170021,204302,230612,232291,235088,239630,241125,241427,242160,242611,242817,243496,245297,247801,253912,254975,257049,261252,261752,262061,263272,263761,265279,278805,
chr17	31128457	31169964	ENST00000489712.6	0	+	31128457	31128457	0	5	50,144,84,191,74,	0,27525,30552,34728,41433,
chr17	31133181	31138518	ENST00000584382.1	0	+	31133181	31133181	0	2	520,2260,	0,3077,
chr17	31156040	31254292	ENST00000495910.6	0	+	31156040	31181434	0	29	86,84,191,68,76,158,174,123,75,132,135,114,80,124,156,250,74,84,441,140,123,84,117,182,212,162,104,136,4338,	0,2969,7145,25381,25669,26467,44381,44996,45370,50199,58410,62964,65809,67403,69054,70394,71177,71482,72984,73794,74219,74801,76032,76659,76961,79570,79877,92943,93914,
chr17	31159064	31183472	ENST00000490416.2	0	+	31163210	31182899	0	5	29,191,68,76,965,	0,4121,22357,22645,23443,
chr17	31200535	31374433	ENST00000456735.6	0	+	31200535	31374155	0	50	60,123,75,132,135,114,80,124,156,250,74,84,441,140,123,84,117,182,212,162,104,136,159,98,147,147,111,433,341,203,194,141,280,215,62,115,102,141,127,132,136,158,123,131,101,143,47,217,54,421,	0,501,875,5704,13915,18469,21314,22908,24559,25899,26682,26987,28489,29299,29724,30306,31537,32164,32466,35075,35382,48448,57808,58496,59833,61175,64693,125284,126963,129760,134302,135797,136099,136832,137283,137489,138168,139969,142473,148584,149647,151721,155924,156424,156733,157944,158433,159951,166689,173477,
chr17	31225082	31331904	ENST00000493220.5	0	+	31225082	31225082	0	21	168,250,74,84,950,123,84,117,182,212,162,104,136,159,98,147,147,111,433,341,1609,	0,1352,2135,2440,3942,5177,5759,6990,7617,7919,10528,10835,23901,33261,33949,35286,36628,40146,100737,102416,105213,
chr17	31233029	31261794	ENST00000466819.5	0	+	31233029	31257719	0	10	184,162,104,136,63,40,159,98,147,84,	0,2581,2888,15954,19908,24657,25314,26002,27339,28681,
chr17	31233029	31261794	ENST00000479614.1	0	+	31233029	31257719	0	9	184,162,104,136,40,159,98,147,84,	0,2581,2888,15954,24657,25314,26002,27339,28681,
chr17	31272012	31273622	ENST00000584094.1	0	-	31272012	31272012	0	2	753,46,	0,1564,
chr17	31272448	31297230	ENST00000580156.1	0	-	31272448	31272448	0	3	317,73,75,	0,5719,24707,
chr17	31294574	31297539	ENST00000582029.1	0	-	31294574	31294574	0	1	2965,	0,
chr17	31294646	31297239	ENST00000247271.5	0	-	31295008	31296331	0	2	1691,84,	0,2509,
chr17	31303769	31314054	ENST00000330927.5	0	-	31304262	31305609	0	2	1861,76,	0,10209,
chr17	31304233	31314105	ENST00000577894.1	0	-	31304262	31305609	0	3	1397,73,127,	0,3653,9745,
chr17	31305212	31318831	ENST00000578584.5	0	-	31314006	31318785	0	3	418,66,524,	0,8766,13095,
chr17	31305342	31318640	ENST00000578021.5	0	-	31314006	31318640	0	4	288,73,66,333,	0,2544,8636,12965,
chr17	31305355	31318640	ENST00000584948.1	0	-	31305610	31318640	0	2	275,333,	0,12952,
chr17	31305383	31318639	ENST00000581884.1	0	-	31314077	31318639	0	5	247,73,132,95,332,	0,2503,8595,8987,12924,
chr17	31317559	31321032	ENST00000461237.5	0	-	31318302	31319013	0	2	1464,76,	0,3397,
chr17	31317559	31321749	ENST00000247270.3	0	-	31318302	31320431	0	3	1464,141,255,	0,2813,3935,
chr17	31317559	31321884	ENST00000462804.2	0	-	31318302	31319013	0	2	1464,390,	0,3935,
